date;reality;projection;
01/01/2021;;166;1
02/01/2021;168;166;2
03/01/2021;168;169;3
04/01/2021;170;170;4
05/01/2021;172;172;5
06/01/2021;174;173;6
07/01/2021;175;176;7
08/01/2021;178;179;8
09/01/2021;181;182;9
10/01/2021;184;185;10
11/01/2021;189;188;11
12/01/2021;192;192;12
13/01/2021;198;198;13
14/01/2021;201;202;14
15/01/2021;206;206;15
16/01/2021;212;211;16
17/01/2021;217;218;17
18/01/2021;221;222;18
19/01/2021;227;228;19
20/01/2021;231;232;20
21/01/2021;234;235;21
22/01/2021;237;238;22
23/01/2021;239;240;23
24/01/2021;240;241;24
25/01/2021;242;242;25
26/01/2021;242;242;26
27/01/2021;241;240;27
28/01/2021;239;240;28
29/01/2021;239;240;29
30/01/2021;239;240;30
31/01/2021;239;239;31
01/02/2021;238;239;32
02/02/2021;237;237;33
03/02/2021;237;237;34
04/02/2021;237;237;35
05/02/2021;237;239;36
06/02/2021;237;237;37
07/02/2021;237;238;38
08/02/2021;237;239;39
09/02/2021;238;237;40
10/02/2021;236;237;41
11/02/2021;236;237;42
12/02/2021;236;235;43
13/02/2021;233;234;44
14/02/2021;233;235;45
15/02/2021;233;234;46
16/02/2021;233;234;47
17/02/2021;233;235;48
18/02/2021;234;234;49
19/02/2021;235;236;50
20/02/2021;238;239;51
21/02/2021;241;242;52
22/02/2021;244;246;53
23/02/2021;248;249;54
24/02/2021;252;255;55
25/02/2021;258;258;56
26/02/2021;261;261;57
27/02/2021;264;267;58
28/02/2021;269;270;59
01/03/2021;272;273;60
02/03/2021;274;276;61
03/03/2021;278;279;62
04/03/2021;280;280;63
05/03/2021;281;282;64
06/03/2021;284;283;65
07/03/2021;284;286;66
08/03/2021;287;288;67
09/03/2021;289;291;68
10/03/2021;293;294;69
11/03/2021;299;297;70
12/03/2021;301;303;71
13/03/2021;306;307;72
14/03/2021;311;312;73
15/03/2021;317;321;74
16/03/2021;324;329;75
17/03/2021;332;334;76
18/03/2021;338;341;77
19/03/2021;343;348;78
20/03/2021;350;353;79
21/03/2021;357;359;80
22/03/2021;363;366;81
23/03/2021;368;371;82
24/03/2021;375;378;83
25/03/2021;382;384;84
26/03/2021;388;392;85
27/03/2021;394;399;86
28/03/2021;403;405;87
29/03/2021;410;413;88
30/03/2021;416;419;89
31/03/2021;422;427;90
01/04/2021;428;433;91
02/04/2021;435;437;92
03/04/2021;439;442;93
04/04/2021;443;446;94
05/04/2021;444;446;95
06/04/2021;444;446;96
07/04/2021;442;443;97
08/04/2021;439;441;98
09/04/2021;436;438;99
10/04/2021;433;432;100
11/04/2021;428;430;101
12/04/2021;424;426;102
13/04/2021;420;420;103
14/04/2021;416;418;104
15/04/2021;413;415;105
16/04/2021;409;412;106
17/04/2021;407;408;107
18/04/2021;403;404;108
19/04/2021;399;400;109
20/04/2021;396;396;110
21/04/2021;390;390;111
22/04/2021;383;383;112
23/04/2021;376;374;113
24/04/2021;368;364;114
25/04/2021;358;354;115
26/04/2021;349;344;116
27/04/2021;337;333;117
28/04/2021;325;319;118
29/04/2021;315;309;119
30/04/2021;303;296;120
01/05/2021;287;281;121
02/05/2021;277;271;122
03/05/2021;264;260;123
04/05/2021;252;247;124
05/05/2021;241;238;125
06/05/2021;228;228;126
07/05/2021;218;;
08/05/2021;204;209;
09/05/2021;194;203;
10/05/2021;187;196;
11/05/2021;176;188;
12/05/2021;170;181;
13/05/2021;162;175;
14/05/2021;155;168;
15/05/2021;150;162;
16/05/2021;145;156;
17/05/2021;140;151;
18/05/2021;136;146;
19/05/2021;133;141;
20/05/2021;130;135;
21/05/2021;125;131;
22/05/2021;121;127;
23/05/2021;118;;
24/05/2021;115;;
25/05/2021;111;;
26/05/2021;105;;
27/05/2021;103;;
28/05/2021;99;;
29/05/2021;94;;
30/05/2021;90;;
31/05/2021;87;;
01/06/2021;83;;
02/06/2021;78;;
03/06/2021;75;;
04/06/2021;72;;
05/06/2021;68;;
06/06/2021;62;;
07/06/2021;60;;
08/06/2021;57;;
09/06/2021;53;;
10/06/2021;50;;
11/06/2021;49;;
12/06/2021;46;;
13/06/2021;42;;
14/06/2021;40;;
15/06/2021;38;;
16/06/2021;35;;
17/06/2021;33;;
18/06/2021;31;;
19/06/2021;28;;
20/06/2021;26;;
21/06/2021;24;;
22/06/2021;23;;
23/06/2021;20;;
24/06/2021;20;;
