date;real;blue_full_60;blue_dashed_60;orange_full_60;orange_dashed_60;purple_full_60;purple_dashed_60;blue_full_40;blue_dashed_40;orange_full_40;orange_dashed_40;purple_full_40;purple_dashed_40
06/06/2021;;628;880;935;1309;764;1072;489;683;711;983;586;848
07/06/2021;;621;885;945;1317;765;1072;473;662;699;973;577;847
08/06/2021;;612;864;954;1326;765;1067;457;640;689;962;561;835
09/06/2021;;603;845;963;1336;764;1062;439;625;681;949;548;830
10/06/2021;;593;823;972;1335;757;1058;424;552;672;947;538;766
11/06/2021;;581;801;982;1332;759;1049;411;526;668;927;527;752
12/06/2021;;572;782;994;1331;768;1053;401;514;665;902;517;716
13/06/2021;;563;765;1003;1340;769;1051;382;517;658;877;517;697
14/06/2021;;554;765;1012;1364;765;1047;373;509;651;854;508;694
15/06/2021;;546;756;1022;1385;756;1043;362;495;646;874;495;679
16/06/2021;;537;752;1039;1410;752;1039;349;481;642;874;481;660
17/06/2021;;531;757;1050;1428;757;1035;340;468;638;865;469;641
18/06/2021;;527;760;1063;1439;756;1032;332;460;635;868;460;625
19/06/2021;;521;739;1082;1461;756;1033;322;451;634;863;455;620
20/06/2021;;513;719;1096;1466;756;1033;310;446;628;865;446;609
21/06/2021;;511;699;1109;1486;756;1028;301;436;627;869;440;600
22/06/2021;;505;678;1123;1510;761;1025;295;414;623;858;432;587
23/06/2021;;498;677;1142;1531;765;1027;287;402;623;844;423;581
24/06/2021;;497;668;1155;1547;765;1024;281;395;616;830;415;562
25/06/2021;;488;662;1169;1554;765;1021;272;383;611;818;409;551
26/06/2021;;483;653;1182;1563;765;1018;264;379;610;803;404;539
27/06/2021;;479;;1192;1572;765;1015;262;388;605;806;394;527
28/06/2021;;471;;1204;1585;765;1012;249;389;603;798;390;517
29/06/2021;;464;;1216;;765;1010;245;;595;789;384;506
30/06/2021;;460;;1230;;765;1008;236;;591;784;376;501
01/07/2021;;451;;1240;;761;1004;229;;588;775;370;491
