date;reality;projection;
01/08/2021;118;125;1
02/08/2021;125;131;2
03/08/2021;132;138;3
04/08/2021;137;142;4
05/08/2021;142;146;5
06/08/2021;146;148;6
07/08/2021;148;152;7
08/08/2021;149;152;8
09/08/2021;152;154;9
10/08/2021;152;156;10
11/08/2021;152;156;11
12/08/2021;152;156;12
13/08/2021;152;156;13
14/08/2021;152;154;14
15/08/2021;152;154;15
16/08/2021;151;152;16
17/08/2021;150;152;17
18/08/2021;150;152;18
19/08/2021;149;151;19
20/08/2021;148;149;20
21/08/2021;147;149;21
22/08/2021;145;146;22
23/08/2021;143;145;23
24/08/2021;142;141;24
25/08/2021;139;140;25
26/08/2021;135;137;26
27/08/2021;133;133;27
28/08/2021;130;131;28
29/08/2021;126;127;29
30/08/2021;123;123;30
31/08/2021;120;121;31
01/09/2021;118;118;32
02/09/2021;115;115;33
03/09/2021;112;111;34
04/09/2021;107;107;35
05/09/2021;103;103;36
06/09/2021;100;100;37
07/09/2021;97;96;38
08/09/2021;93;92;39
09/09/2021;89;89;40
10/09/2021;86;86;41
11/09/2021;82;82;42
12/09/2021;79;80;43
13/09/2021;74;78;44
14/09/2021;71;72;45
15/09/2021;69;70;46
16/09/2021;66;67;47
17/09/2021;63;64;48
18/09/2021;60;61;49
19/09/2021;58;58;50
20/09/2021;56;56;51
21/09/2021;54;54;52
22/09/2021;52;53;53
23/09/2021;51;51;54
24/09/2021;47;49;55
25/09/2021;46;47;56
26/09/2021;45;46;57
27/09/2021;43;44;58
28/09/2021;42;44;59
29/09/2021;41;42;60
30/09/2021;40;42;61
01/10/2021;39;40;62
02/10/2021;39;41;63
03/10/2021;38;41;64
04/10/2021;38;41;65
05/10/2021;37;40;66
06/10/2021;37;39;67
07/10/2021;37;39;68
08/10/2021;37;39;69
09/10/2021;37;39;70
10/10/2021;37;40;71
11/10/2021;37;41;72
12/10/2021;38;41;73
13/10/2021;38;41;74
14/10/2021;39;41;75
15/10/2021;40;43;76
16/10/2021;41;44;77
17/10/2021;42;47;78
18/10/2021;44;47;79
19/10/2021;45;48;80
20/10/2021;47;51;81
21/10/2021;49;51;82
22/10/2021;50;53;83
23/10/2021;51;55;84
24/10/2021;53;57;85
25/10/2021;55;57;86
26/10/2021;57;59;87
27/10/2021;57;61;88
28/10/2021;59;61;89
29/10/2021;60;62;90
30/10/2021;60;64;91
31/10/2021;62;64;92
01/11/2021;64;66;93
02/11/2021;64;68;94
03/11/2021;66;68;95
04/11/2021;67;70;96
05/11/2021;70;72;97
06/11/2021;72;74;98
07/11/2021;74;76;99
08/11/2021;76;78;100
09/11/2021;78;80;101
10/11/2021;80;81;102
11/11/2021;83;83;103
12/11/2021;85;85;104
13/11/2021;87;87;105
14/11/2021;89;90;106
15/11/2021;92;93;107
16/11/2021;95;96;108
17/11/2021;98;100;109
18/11/2021;100;104;110
19/11/2021;103;108;111
20/11/2021;107;113;112
21/11/2021;112;118;113
22/11/2021;119;126;114
23/11/2021;125;132;115
24/11/2021;132;140;116
25/11/2021;140;148;117
26/11/2021;148;157;118
27/11/2021;157;167;119
28/11/2021;167;177;120
29/11/2021;176;185;121
30/11/2021;186;193;122
01/12/2021;194;201;123
02/12/2021;203;212;124
03/12/2021;211;220;125
04/12/2021;218;226;126
05/12/2021;223;236;127
06/12/2021;228;244;128
07/12/2021;235;253;129
08/12/2021;238;259;130
09/12/2021;243;;131
10/12/2021;246;;132
11/12/2021;249;285;133
12/12/2021;250;291;134
13/12/2021;252;296;135
14/12/2021;254;304;136
15/12/2021;255;308;137
16/12/2021;257;312;138
17/12/2021;;318;
18/12/2021;;323;
19/12/2021;;327;
20/12/2021;;331;
21/12/2021;;335;
22/12/2021;;338;
23/12/2021;;342;
24/12/2021;;346;
25/12/2021;;348;
