date,median,min,max
2020-11-01,3411,3126,3706
2020-11-02,3544,3266,3786
2020-11-03,3678,3375,3908
2020-11-04,3801,3524,4041
2020-11-05,3896,3629,4163
2020-11-06,4054,3764,4333
2020-11-07,4188,3908,4503
2020-11-08,4334,4020,4650
2020-11-09,4439,4128,4776
2020-11-10,4568,4226,4926
2020-11-11,4710,4306,5071
2020-11-12,4799,4398,5145
2020-11-13,4890,4493,5190
2020-11-14,4949,4583,5281
2020-11-15,4984,4652,5366
2020-11-16,4959,4647,5413
2020-11-17,4968,4675,5443
2020-11-18,4981,4703,5429
2020-11-19,4979,4699,5419
2020-11-20,4954,4652,5395
2020-11-21,4890,4566,5381
2020-11-22,4825,4532,5276
2020-11-23,4732,4420,5197
2020-11-24,4670,4351,5109
2020-11-25,4578,4268,4990
2020-11-26,4475,4184,4884
2020-11-27,4400,4102,4771
2020-11-28,4285,4021,4684
2020-11-29,4182,3876,4586
2020-11-30,4067,3762,4490
2020-12-01,3951,3683,4349
2020-12-02,3839,3682,4261
2020-12-03,3746,3412,4172
2020-12-04,3674,3326,4072
2020-12-05,3562,3228,3951
2020-12-06,3496,3165,3821
2020-12-07,3402,3122,3734
2020-12-08,3326,3050,3560
2020-12-09,3266,3003,3508
2020-12-10,3183,2953,3458
2020-12-11,3122,2905,3402
2020-12-12,3040,2856,3317
2020-12-13,3014,2822,3254
2020-12-14,2974,2767,3205
2020-12-15,2881,2665,3191
2020-12-16,2891,2668,3154
2020-12-17,2856,2653,3085
2020-12-18,2830,2601,3085
2020-12-19,2806,2552,3072
2020-12-20,2782,2528,3048
2020-12-21,2758,2503,3036
2020-12-22,2733,2480,3024
2020-12-23,2734,2431,3060
2020-12-24,2721,2383,3085
2020-12-25,2721,2394,3084
2020-12-26,2708,2370,3084
2020-12-27,2696,2332,3084
2020-12-28,2685,2311,3084
2020-12-29,2673,2287,3086
2020-12-30,2673,2273,3111
2020-12-31,2673,2239,3134
2021-01-01,2673,2206,3159
2021-01-02,2673,2165,3172
2021-01-03,2673,2140,3209
2021-01-04,2673,2114,3242
2021-01-05,2673,2104,3252
2021-01-06,2685,2105,3253
2021-01-07,2685,2095,3278
2021-01-08,2697,2100,3307
2021-01-09,2709,2080,3339
2021-01-10,2703,2105,3338
2021-01-11,2723,2104,3343
2021-01-12,2726,2074,3349
2021-01-13,2732,2068,3363
2021-01-14,2744,2068,3382
2021-01-15,2758,2086,3404
2021-01-16,2764,2107,3438
2021-01-17,2783,2129,3444
2021-01-18,2780,2155,3486
2021-01-19,2794,2154,3471
2021-01-20,2804,2153,3483
2021-01-21,2816,2186,3473
2021-01-22,2830,2189,3482
2021-01-23,2842,2194,3483
2021-01-24,2854,2202,3494
2021-01-25,2864,2206,3529
2021-01-26,2876,2213,3547
2021-01-27,2877,2213,3567
2021-01-28,2891,2213,3605
2021-01-29,2904,2228,3604
2021-01-30,2914,2225,3606
2021-01-31,2927,2225,3603
2021-02-01,2938,2225,3616
2021-02-02,2950,2238,3641
2021-02-03,2951,2237,3641
2021-02-04,2963,2238,3676
2021-02-05,3000,2250,3701
2021-02-06,2999,2250,3689
2021-02-07,3012,2250,3725
2021-02-08,3024,2238,3725
2021-02-09,3024,2238,3725
2021-02-10,3036,2238,3737
2021-02-11,3048,2287,3750
2021-02-12,3048,2287,3749
2021-02-13,3061,2310,3749
2021-02-14,3072,2335,3750
2021-02-15,3073,2334,3762
