date,median,min,max
2020-09-15,525,,
2020-09-16,545,,
2020-09-17,565,,
2020-09-18,574,,
2020-09-19,586,,
2020-09-20,605,,
2020-09-21,636,,
2020-09-22,654,,
2020-09-23,674,,
2020-09-24,721,,
2020-09-25,747,,
2020-09-26,777,,
2020-09-27,814,,
2020-09-28,849,,
2020-09-29,878,,
2020-09-30,900,,
2020-10-01,940,,
2020-10-02,974,,
2020-10-03,1006,,
2020-10-04,1046,,
2020-10-05,1085,,
2020-10-06,1122,,
2020-10-07,1182,,
2020-10-08,1225,,
2020-10-09,1274,,
2020-10-10,1322,,
2020-10-11,1374,,
2020-10-12,1425,,
2020-10-13,1484,,
2020-10-14,1544,,
2020-10-15,1605,,
2020-10-16,1666,,
2020-10-17,1734,,
2020-10-18,1795,,
2020-10-19,1877,,
2020-10-20,1958,,
2020-10-21,2046,,
2020-10-22,2120,,
2020-10-23,2200,,
2020-10-24,2305,,
2020-10-25,2356,,
2020-10-26,2429,2354,2440
2020-10-27,2501,2412,2672
2020-10-28,2718,2559,2783
2020-10-29,2805,2690,2912
2020-10-30,2857,2798,3037
2020-10-31,2955,2862,3136
2020-11-01,3084,2926,3258
2020-11-02,3236,3004,3396
2020-11-03,3363,3126,3525
2020-11-04,3428,3235,3653
2020-11-05,3560,3323,3800
2020-11-06,3677,3421,3926
2020-11-07,3822,3535,4080
2020-11-08,3973,3694,4248
2020-11-09,4107,3835,4403
2020-11-10,4227,3968,4525
2020-11-11,4324,4079,4604
2020-11-12,4426,4129,4704
2020-11-13,4471,4148,4784
2020-11-14,4541,4198,4844
2020-11-15,4571,4227,4884
2020-11-16,4611,4259,4924
2020-11-17,4621,4238,4964
2020-11-18,4623,4219,4986
2020-11-19,4600,4172,5027
2020-11-20,4582,4135,5037
2020-11-21,4552,4033,5046
2020-11-22,4521,3967,5046
2020-11-23,4492,3901,5046
2020-11-24,4444,3792,5030
2020-11-25,4368,3732,4993
2020-11-26,4265,3577,4956
2020-11-27,4192,3470,4898
2020-11-28,4118,3347,4846
2020-11-29,4032,3204,4796
2020-11-30,3953,3103,4725
2020-12-01,3918,2990,4677
2020-12-02,3782,2885,4655
2020-12-03,3690,2789,4568
2020-12-04,3608,2649,4513
2020-12-05,3518,2559,4420
2020-12-06,3426,2435,4316
2020-12-07,3326,2317,4267
2020-12-08,3246,2189,4217
2020-12-09,3155,2078,4166
2020-12-10,3076,1986,4104
2020-12-11,2987,1908,4027
2020-12-12,2896,1826,3938
2020-12-13,2826,1807,3865
2020-12-14,2776,1776,3786
2020-12-15,2716,1705,3745
2020-12-16,2646,1654,3734
2020-12-17,2615,1615,3704
2020-12-18,2573,1564,3734
2020-12-19,2536,1546,3723
2020-12-20,2512,1514,3734
2020-12-21,2496,1484,3733
2020-12-22,2493,1443,3754
2020-12-23,2493,1382,3764
2020-12-24,2512,1355,3785
2020-12-25,2518,1326,3815
2020-12-26,2539,1318,3881
2020-12-27,2569,1312,3964
2020-12-28,2597,1312,4085
2020-12-29,2634,1298,4180
2020-12-30,2673,1293,4240
2020-12-31,2722,1292,4322
2021-01-01,2768,1289,4355
2021-01-02,2828,1292,4426
2021-01-03,2879,1304,4486
2021-01-04,2950,1350,4528
2021-01-05,3013,1394,4645
2021-01-06,3068,1436,4768
2021-01-07,3130,1463,4868
2021-01-08,3181,1483,5066
2021-01-09,3272,1505,5189
2021-01-10,3351,1534,5309
2021-01-11,3442,1544,5420
2021-01-12,3532,1554,5568
2021-01-13,3612,1575,5670
2021-01-14,3682,1614,5827
2021-01-15,3752,1675,5943
2021-01-16,3812,1743,6049
2021-01-17,3864,1790,6171
2021-01-18,3926,1786,6204
2021-01-19,3963,1826,6305
2021-01-20,4013,1866,6336
2021-01-21,4044,1869,6378
2021-01-22,4081,1877,6396
2021-01-23,4103,1893,6427
2021-01-24,4123,1896,6458
2021-01-25,4128,1907,6464
2021-01-26,4143,1927,6479
2021-01-27,4148,1948,6479
2021-01-28,4148,1958,6475
2021-01-29,4144,1958,6465
2021-01-30,4137,1965,6414
2021-01-31,4127,1959,6405
