date,median,min,max
2020-11-01,3612,3361,3952
2020-11-02,3647,3387,4059
2020-11-03,3740,3487,4077
2020-11-04,3825,3549,4132
2020-11-05,3910,3622,4225
2020-11-06,4002,3700,4311
2020-11-07,4123,3802,4419
2020-11-08,4225,3923,4546
2020-11-09,4301,4017,4676
2020-11-10,4367,4072,4760
2020-11-11,4414,4112,4835
2020-11-12,4465,4132,4887
2020-11-13,4508,4219,4884
2020-11-14,4530,4226,4949
2020-11-15,4544,4226,4920
2020-11-16,4540,4219,4907
2020-11-17,4516,4198,4885
2020-11-18,4495,4188,4864
2020-11-19,4455,4087,4823
2020-11-20,4390,4020,4769
2020-11-21,4319,3961,4695
2020-11-22,4273,3883,4650
2020-11-23,4188,3801,4614
2020-11-24,4124,3756,4547
2020-11-25,4044,3662,4462
2020-11-26,3959,3592,4385
2020-11-27,3873,3491,4299
2020-11-28,3788,3415,4231
2020-11-29,3702,3353,4095
2020-11-30,3630,3331,3929
2020-12-01,3554,3167,3831
2020-12-02,3474,3116,3787
2020-12-03,3386,3032,3732
2020-12-04,3235,2948,3673
2020-12-05,3207,2842,3592
2020-12-06,3130,2788,3499
2020-12-07,3046,2716,3475
2020-12-08,2977,2644,3258
2020-12-09,2890,2552,3201
2020-12-10,2794,2473,3119
2020-12-11,2718,2402,2978
2020-12-12,2668,2338,2924
2020-12-13,2603,2302,2850
2020-12-14,2552,2293,2784
2020-12-15,2513,2255,2742
2020-12-16,2465,2224,2692
2020-12-17,2417,2187,2640
2020-12-18,2375,2167,2601
2020-12-19,2345,2138,2562
2020-12-20,2296,2117,2529
2020-12-21,2276,2103,2485
2020-12-22,2254,2095,2457
2020-12-23,2219,2073,2428
2020-12-24,2197,2067,2414
2020-12-25,2169,2047,2384
2020-12-26,2152,2032,2371
2020-12-27,2146,2013,2359
2020-12-28,2131,2010,2341
2020-12-29,2117,1988,2334
2020-12-30,2102,1980,2327
2020-12-31,2103,1980,2312
2021-01-01,2094,1972,2310
2021-01-02,2088,1965,2283
2021-01-03,2088,1965,2297
2021-01-04,2088,1950,2297
2021-01-05,2087,1951,2297
2021-01-06,2096,1943,2297
2021-01-07,2109,1951,2297
2021-01-08,2134,1951,2312
2021-01-09,2157,1982,2321
2021-01-10,2166,1991,2371
2021-01-11,2184,2020,2390
2021-01-12,2200,2038,2421
2021-01-13,2225,2046,2434
2021-01-14,2248,2082,2464
2021-01-15,2284,2102,2486
2021-01-16,2297,2116,2536
2021-01-17,2326,2139,2578
2021-01-18,2361,2152,2634
2021-01-19,2396,2184,2673
2021-01-20,2444,2223,2708
2021-01-21,2473,2233,2771
2021-01-22,2533,2266,2821
2021-01-23,2580,2289,2858
2021-01-24,2612,2299,2908
2021-01-25,2651,2334,2980
2021-01-26,2689,2369,3043
2021-01-27,2739,2392,3123
2021-01-28,2796,2442,3186
2021-01-29,2846,2470,3236
2021-01-30,2881,2500,3328
2021-01-31,2930,2555,3413
2021-02-01,2975,2590,3472
2021-02-02,3010,2634,3544
2021-02-03,3087,2661,3617
2021-02-04,3139,2697,3695
2021-02-05,3205,2740,3774
2021-02-06,3270,2799,3844
2021-02-07,3312,2840,3904
2021-02-08,3363,2861,3966
2021-02-09,3419,2883,4020
2021-02-10,3476,2911,4090
2021-02-11,3539,2934,4161
2021-02-12,3590,2986,4247
2021-02-13,3658,3041,4330
2021-02-14,3702,3085,4394
2021-02-15,3758,3157,4460
2021-02-16,3818,3231,4509
2021-02-17,3879,3286,4548
2021-02-18,3945,3340,4623
2021-02-19,3993,3375,4703
2021-02-20,4050,3410,4785
2021-02-21,4132,3455,4871
2021-02-22,4184,3490,4934
2021-02-23,4234,3532,5007
2021-02-24,4306,3582,5063
2021-02-25,4370,3653,5099
2021-02-26,4431,3699,5175
2021-02-27,4505,3788,5285
2021-02-28,4562,3859,5380
2021-03-01,4601,3919,5452
