1;118;
2;123;
3;129;
4;134;
5;137;
6;140;
7;144;
8;147;
9;148;
10;149;
11;151;
12;152;
13;152;
14;152;
15;152;
16;152;
17;152;
18;152;
19;152;
20;152;
21;151;
22;150;
23;151;
24;150;
25;149;
26;148;
27;147;
28;146;
29;145;
30;143;
31;142;
32;141;
33;139;
34;136;
35;134;
36;131;
37;130;
38;126;
39;124;
40;122;
41;120;
42;118;
43;115;
44;114;
45;110;
46;107;
47;105;
48;101;
49;99;
50;97;
51;94;
52;91;
53;89;
54;86;
55;83;
56;80;
57;77;
58;74;
59;72;
60;70;
61;68;
62;66;
63;64;
64;61;
65;59;
66;58;
67;56;
68;55;
69;53;
70;52;
71;51;
72;49;
73;47;
74;46;
75;45;
76;44;
77;43;
78;42;
79;41;
80;41;
81;40;
82;39;
83;39;
84;38;
85;38;
86;37;
87;37;
88;37;
89;37;
90;37;
91;37;
92;37;
93;37;
94;37;
95;37;
96;38;
97;38;
98;38;
99;39;
100;39;
101;41;
102;41;
103;42;
104;43;
105;44;
106;46;
107;47;
108;48;
109;49;
110;51;
111;52;
112;53;
113;54;
114;56;
115;57;
116;57;
117;59;
118;59;
119;60;
120;60;
121;61;
122;62;
123;64;
124;64;
125;65;
126;66;
127;68;
128;70;
129;72;
130;73;
131;74;
132;76;
133;78;
134;79;
135;81;
136;83;
137;85;
138;86;
139;87;
140;89;
141;91;
142;91;
143;94;
144;96;
145;98;
146;100;
147;102;
148;106;
149;109;
150;114;
151;118;
152;124;
153;129;
154;134;
155;141;
156;147;
157;154;
158;161;
159;168;
160;175;
161;182;
162;189;
163;195;
164;202;
165;208;
166;213;
167;218;
168;222;
169;225;
170;230;
171;234;
172;236;
173;241;
174;243;
175;245;
176;247;
177;248;
178;249;
179;251;
180;252;
181;253;
182;254;
183;256;
184;;
185;;
186;;
187;;259
;;261
;;261
;;261
;;261
;;261
;;261
;;261
;;261
;;261
;;261
;;261
;;261
;;261
;;261
;;261
;;261
;;261
